ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
AAPL,1d,2025-03-17T00:00:00,213.31,215.22,209.97,214.0,48073426.0,normal,2025-12-26T06:58:18.266187Z,2025-03-17
AAPL,1d,2025-03-14T00:00:00,211.25,213.95,209.58,213.49,60107600.0,normal,2025-12-26T06:58:18.266187Z,2025-03-14
AAPL,1d,2025-03-13T00:00:00,215.95,216.84,208.42,209.68,61368330.0,normal,2025-12-26T06:58:18.266187Z,2025-03-13
AAPL,1d,2025-03-12T00:00:00,220.14,221.75,214.91,216.98,62547500.0,normal,2025-12-26T06:58:18.266187Z,2025-03-12
AAPL,1d,2025-03-11T00:00:00,223.81,225.84,217.45,220.84,76137410.0,normal,2025-12-26T06:58:18.266187Z,2025-03-11
AAPL,1d,2025-03-10T00:00:00,235.54,236.16,224.22,227.48,72071200.0,normal,2025-12-26T06:58:18.266187Z,2025-03-10
AAPL,1d,2025-03-07T00:00:00,235.11,241.37,234.76,239.07,46273600.0,normal,2025-12-26T06:58:18.266187Z,2025-03-07
AAPL,1d,2025-03-06T00:00:00,234.44,237.86,233.16,235.33,45170419.0,normal,2025-12-26T06:58:18.266187Z,2025-03-06
AAPL,1d,2025-03-05T00:00:00,235.42,236.55,229.23,235.74,47227643.0,normal,2025-12-26T06:58:18.266187Z,2025-03-05
AAPL,1d,2025-03-04T00:00:00,237.71,240.07,234.68,235.93,53798100.0,normal,2025-12-26T06:58:18.266187Z,2025-03-04
AAPL,1d,2025-03-03T00:00:00,241.79,244.03,236.11,238.03,47184000.0,normal,2025-12-26T06:58:18.266187Z,2025-03-03
AAPL,1d,2025-02-28T00:00:00,236.95,242.09,230.2,241.84,56833400.0,normal,2025-12-26T06:58:18.266187Z,2025-02-28
AAPL,1d,2025-02-27T00:00:00,239.41,242.46,237.06,237.3,41153639.0,normal,2025-12-26T06:58:18.266187Z,2025-02-27
AAPL,1d,2025-02-26T00:00:00,244.33,244.98,239.13,240.36,44433600.0,normal,2025-12-26T06:58:18.266187Z,2025-02-26
AAPL,1d,2025-02-25T00:00:00,248.0,250.0,244.91,247.04,48013300.0,normal,2025-12-26T06:58:18.266187Z,2025-02-25
AAPL,1d,2025-02-24T00:00:00,244.93,248.86,244.42,247.1,51326400.0,normal,2025-12-26T06:58:18.266187Z,2025-02-24
AAPL,1d,2025-02-21T00:00:00,245.95,248.69,245.22,245.55,53197431.0,normal,2025-12-26T06:58:18.266187Z,2025-02-21
AAPL,1d,2025-02-20T00:00:00,244.94,246.78,244.29,245.83,32316907.0,normal,2025-12-26T06:58:18.266187Z,2025-02-20
AAPL,1d,2025-02-19T00:00:00,244.66,246.01,243.16,244.87,32204215.0,normal,2025-12-26T06:58:18.266187Z,2025-02-19
AAPL,1d,2025-02-18T00:00:00,244.15,245.18,241.84,244.47,48822500.0,normal,2025-12-26T06:58:18.266187Z,2025-02-18
AAPL,1d,2025-02-14T00:00:00,241.25,245.55,240.99,244.6,40896227.0,normal,2025-12-26T06:58:18.266187Z,2025-02-14
AAPL,1d,2025-02-13T00:00:00,236.91,242.34,235.57,241.53,53614100.0,normal,2025-12-26T06:58:18.266187Z,2025-02-13
AAPL,1d,2025-02-12T00:00:00,231.2,236.96,230.68,236.87,45243300.0,normal,2025-12-26T06:58:18.266187Z,2025-02-12
AAPL,1d,2025-02-11T00:00:00,228.2,235.23,228.13,232.62,53718400.0,normal,2025-12-26T06:58:18.266187Z,2025-02-11
AAPL,1d,2025-02-10T00:00:00,229.57,230.59,227.2,227.65,33115645.0,normal,2025-12-26T06:58:18.266187Z,2025-02-10
AAPL,1d,2025-02-07T00:00:00,232.6,234.0,227.26,227.63,39707224.0,normal,2025-12-26T06:58:18.266187Z,2025-02-07
AAPL,1d,2025-02-06T00:00:00,231.29,233.8,230.43,233.22,29925349.0,normal,2025-12-26T06:58:18.266187Z,2025-02-06
AAPL,1d,2025-02-05T00:00:00,228.53,232.67,228.27,232.47,39664989.0,normal,2025-12-26T06:58:18.266187Z,2025-02-05
AAPL,1d,2025-02-04T00:00:00,227.25,233.13,226.65,232.8,45067301.0,normal,2025-12-26T06:58:18.266187Z,2025-02-04
AAPL,1d,2025-02-03T00:00:00,229.99,231.83,225.7,228.01,73063301.0,normal,2025-12-26T06:58:18.266187Z,2025-02-03
AAPL,1d,2025-01-31T00:00:00,247.19,247.19,233.44,236.0,101075128.0,normal,2025-12-26T06:58:18.266187Z,2025-01-31
AAPL,1d,2025-01-30T00:00:00,238.67,240.79,237.21,237.59,55658300.0,normal,2025-12-26T06:58:18.266187Z,2025-01-30
AAPL,1d,2025-01-29T00:00:00,234.12,239.86,234.01,239.36,45486100.0,normal,2025-12-26T06:58:18.266187Z,2025-01-29
AAPL,1d,2025-01-28T00:00:00,230.85,240.19,230.81,238.26,75707600.0,normal,2025-12-26T06:58:18.266187Z,2025-01-28
AAPL,1d,2025-01-27T00:00:00,224.02,232.15,223.98,229.86,94863418.0,normal,2025-12-26T06:58:18.266187Z,2025-01-27
AAPL,1d,2025-01-24T00:00:00,224.78,225.63,221.41,222.78,54697907.0,normal,2025-12-26T06:58:18.266187Z,2025-01-24
AAPL,1d,2025-01-23T00:00:00,224.74,227.03,222.3,223.66,60234800.0,normal,2025-12-26T06:58:18.266187Z,2025-01-23
AAPL,1d,2025-01-22T00:00:00,219.79,224.12,219.79,223.83,64126500.0,normal,2025-12-26T06:58:18.266187Z,2025-01-22
AAPL,1d,2025-01-21T00:00:00,224.0,224.42,219.38,222.64,98070429.0,normal,2025-12-26T06:58:18.266187Z,2025-01-21
AAPL,1d,2025-01-17T00:00:00,232.12,232.29,228.48,229.98,68488301.0,normal,2025-12-26T06:58:18.266187Z,2025-01-17
AAPL,1d,2025-01-16T00:00:00,237.35,238.01,228.03,228.26,71759100.0,normal,2025-12-26T06:58:18.266187Z,2025-01-16
AAPL,1d,2025-01-15T00:00:00,234.64,238.96,234.43,237.87,39832000.0,normal,2025-12-26T06:58:18.266187Z,2025-01-15
AAPL,1d,2025-01-14T00:00:00,234.75,236.12,232.47,233.28,39435300.0,normal,2025-12-26T06:58:18.266187Z,2025-01-14
AAPL,1d,2025-01-13T00:00:00,233.53,234.67,229.72,234.4,49630725.0,normal,2025-12-26T06:58:18.266187Z,2025-01-13
AAPL,1d,2025-01-10T00:00:00,240.01,240.16,233.0,236.85,61710900.0,normal,2025-12-26T06:58:18.266187Z,2025-01-10
AAPL,1d,2025-01-08T00:00:00,241.92,243.71,240.05,242.7,37628940.0,normal,2025-12-26T06:58:18.266187Z,2025-01-08
AAPL,1d,2025-01-07T00:00:00,242.98,245.55,241.35,242.21,40856000.0,normal,2025-12-26T06:58:18.266187Z,2025-01-07
AAPL,1d,2025-01-06T00:00:00,244.31,247.33,243.2,245.0,45045600.0,normal,2025-12-26T06:58:18.266187Z,2025-01-06
AAPL,1d,2025-01-03T00:00:00,243.36,244.18,241.89,243.36,40244114.0,normal,2025-12-26T06:58:18.266187Z,2025-01-03
AAPL,1d,2025-01-02T00:00:00,248.93,249.1,241.82,243.85,55740731.0,normal,2025-12-26T06:58:18.266187Z,2025-01-02
AAPL,1d,2024-12-31T00:00:00,252.44,253.28,249.43,250.42,39480718.0,normal,2025-12-26T06:58:18.266187Z,2024-12-31
AAPL,1d,2024-12-30T00:00:00,252.23,253.5,250.75,252.2,35557542.0,normal,2025-12-26T06:58:18.266187Z,2024-12-30
AAPL,1d,2024-12-27T00:00:00,257.83,258.7,253.06,255.59,42355321.0,normal,2025-12-26T06:58:18.266187Z,2024-12-27
AAPL,1d,2024-12-26T00:00:00,258.19,260.1,257.63,259.02,27262983.0,normal,2025-12-26T06:58:18.266187Z,2024-12-26
AAPL,1d,2024-12-24T00:00:00,255.49,258.21,255.29,258.2,23234705.0,normal,2025-12-26T06:58:18.266187Z,2024-12-24
AAPL,1d,2024-12-23T00:00:00,254.77,255.65,253.45,255.27,40858800.0,normal,2025-12-26T06:58:18.266187Z,2024-12-23
AAPL,1d,2024-12-20T00:00:00,248.04,255.0,245.69,254.49,147495300.0,normal,2025-12-26T06:58:18.266187Z,2024-12-20
AAPL,1d,2024-12-19T00:00:00,247.5,252.0,247.09,249.79,60882300.0,normal,2025-12-26T06:58:18.266187Z,2024-12-19
AAPL,1d,2024-12-18T00:00:00,252.16,254.28,247.74,248.05,56774101.0,normal,2025-12-26T06:58:18.266187Z,2024-12-18
AAPL,1d,2024-12-17T00:00:00,250.08,253.83,249.78,253.48,51356400.0,normal,2025-12-26T06:58:18.266187Z,2024-12-17
AAPL,1d,2024-12-16T00:00:00,247.99,251.38,247.65,251.04,51694800.0,normal,2025-12-26T06:58:18.266187Z,2024-12-16
AAPL,1d,2024-12-13T00:00:00,247.82,249.29,246.24,248.13,33155300.0,normal,2025-12-26T06:58:18.266187Z,2024-12-13
AAPL,1d,2024-12-12T00:00:00,246.89,248.74,245.68,247.96,32777532.0,normal,2025-12-26T06:58:18.266187Z,2024-12-12
AAPL,1d,2024-12-11T00:00:00,247.96,250.8,246.26,246.49,45205814.0,normal,2025-12-26T06:58:18.266187Z,2024-12-11
AAPL,1d,2024-12-10T00:00:00,246.89,248.21,245.34,247.77,36914806.0,normal,2025-12-26T06:58:18.266187Z,2024-12-10
AAPL,1d,2024-12-09T00:00:00,241.83,247.24,241.75,246.75,44649232.0,normal,2025-12-26T06:58:18.266187Z,2024-12-09
AAPL,1d,2024-12-06T00:00:00,242.91,244.63,242.08,242.84,36870619.0,normal,2025-12-26T06:58:18.266187Z,2024-12-06
AAPL,1d,2024-12-05T00:00:00,243.99,244.54,242.13,243.04,40033900.0,normal,2025-12-26T06:58:18.266187Z,2024-12-05
AAPL,1d,2024-12-04T00:00:00,242.87,244.11,241.25,243.01,44383935.0,normal,2025-12-26T06:58:18.266187Z,2024-12-04
AAPL,1d,2024-12-03T00:00:00,239.81,242.76,238.9,242.65,38861017.0,normal,2025-12-26T06:58:18.266187Z,2024-12-03
AAPL,1d,2024-12-02T00:00:00,237.27,240.79,237.16,239.59,48137103.0,normal,2025-12-26T06:58:18.266187Z,2024-12-02
AAPL,1d,2024-11-29T00:00:00,234.81,237.81,233.97,237.33,28481400.0,normal,2025-12-26T06:58:18.266187Z,2024-11-29
AAPL,1d,2024-11-27T00:00:00,234.47,235.69,233.81,234.93,33498439.0,normal,2025-12-26T06:58:18.266187Z,2024-11-27
AAPL,1d,2024-11-26T00:00:00,233.33,235.57,233.33,235.06,45986200.0,normal,2025-12-26T06:58:18.266187Z,2024-11-26
AAPL,1d,2024-11-25T00:00:00,231.46,233.25,229.74,232.87,90152832.0,normal,2025-12-26T06:58:18.266187Z,2024-11-25
AAPL,1d,2024-11-22T00:00:00,228.06,230.72,228.06,229.87,38168300.0,normal,2025-12-26T06:58:18.266187Z,2024-11-22
AAPL,1d,2024-11-21T00:00:00,228.88,230.16,225.71,228.52,42108327.0,normal,2025-12-26T06:58:18.266187Z,2024-11-21
AAPL,1d,2024-11-20T00:00:00,228.06,229.93,225.89,229.0,35169600.0,normal,2025-12-26T06:58:18.266187Z,2024-11-20
AAPL,1d,2024-11-19T00:00:00,226.98,230.16,226.66,228.28,36211800.0,normal,2025-12-26T06:58:18.266187Z,2024-11-19
AAPL,1d,2024-11-18T00:00:00,225.25,229.74,225.17,228.02,44686020.0,normal,2025-12-26T06:58:18.266187Z,2024-11-18
AAPL,1d,2024-11-15T00:00:00,226.4,226.92,224.27,225.0,47923700.0,normal,2025-12-26T06:58:18.266187Z,2024-11-15
AAPL,1d,2024-11-14T00:00:00,225.02,228.87,225.0,228.22,44923941.0,normal,2025-12-26T06:58:18.266187Z,2024-11-14
AAPL,1d,2024-11-13T00:00:00,224.01,226.65,222.76,225.12,48566217.0,normal,2025-12-26T06:58:18.266187Z,2024-11-13
AAPL,1d,2024-11-12T00:00:00,224.55,225.59,223.36,224.23,40398300.0,normal,2025-12-26T06:58:18.266187Z,2024-11-12
AAPL,1d,2024-11-11T00:00:00,225.0,225.7,221.5,224.23,42005602.0,normal,2025-12-26T06:58:18.266187Z,2024-11-11
AAPL,1d,2024-11-08T00:00:00,227.17,228.66,226.41,226.96,38328824.0,normal,2025-12-26T06:58:18.266187Z,2024-11-08
AAPL,1d,2024-11-07T00:00:00,224.63,227.88,224.57,227.48,42137700.0,normal,2025-12-26T06:58:18.266187Z,2024-11-07
AAPL,1d,2024-11-06T00:00:00,222.61,226.07,221.19,222.72,54561121.0,normal,2025-12-26T06:58:18.266187Z,2024-11-06
AAPL,1d,2024-11-05T00:00:00,221.8,223.95,221.14,223.45,28111338.0,normal,2025-12-26T06:58:18.266187Z,2024-11-05
AAPL,1d,2024-11-04T00:00:00,220.99,222.79,219.71,222.01,44944500.0,normal,2025-12-26T06:58:18.266187Z,2024-11-04
AAPL,1d,2024-11-01T00:00:00,220.97,225.35,220.27,222.91,65276741.0,normal,2025-12-26T06:58:18.266187Z,2024-11-01
AAPL,1d,2024-10-31T00:00:00,229.34,229.83,225.37,225.91,64370100.0,normal,2025-12-26T06:58:18.266187Z,2024-10-31
AAPL,1d,2024-10-30T00:00:00,232.61,233.47,229.55,230.1,47070907.0,normal,2025-12-26T06:58:18.266187Z,2024-10-30
AAPL,1d,2024-10-29T00:00:00,233.1,234.33,232.32,233.67,35417247.0,normal,2025-12-26T06:58:18.266187Z,2024-10-29
AAPL,1d,2024-10-28T00:00:00,233.32,234.73,232.55,233.4,36087134.0,normal,2025-12-26T06:58:18.266187Z,2024-10-28
AAPL,1d,2024-10-25T00:00:00,229.74,233.22,229.57,231.41,38802304.0,normal,2025-12-26T06:58:18.266187Z,2024-10-25
AAPL,1d,2024-10-24T00:00:00,229.98,230.82,228.41,230.57,31109503.0,normal,2025-12-26T06:58:18.266187Z,2024-10-24
AAPL,1d,2024-10-23T00:00:00,234.08,235.14,227.76,230.76,52287000.0,normal,2025-12-26T06:58:18.266187Z,2024-10-23
AAPL,1d,2024-10-22T00:00:00,233.89,236.22,232.6,235.86,38846600.0,normal,2025-12-26T06:58:18.266187Z,2024-10-22
AAPL,1d,2024-10-21T00:00:00,234.45,236.85,234.45,236.48,36254500.0,normal,2025-12-26T06:58:18.266187Z,2024-10-21
AAPL,1d,2024-10-18T00:00:00,236.18,236.18,234.01,235.0,46431500.0,normal,2025-12-26T06:58:18.266187Z,2024-10-18
AAPL,1d,2024-10-17T00:00:00,233.43,233.85,230.52,232.15,32993810.0,normal,2025-12-26T06:58:18.266187Z,2024-10-17
AAPL,1d,2024-10-16T00:00:00,231.6,232.12,229.84,231.78,34082240.0,normal,2025-12-26T06:58:18.266187Z,2024-10-16
AAPL,1d,2024-10-15T00:00:00,233.61,237.49,232.37,233.85,64751400.0,normal,2025-12-26T06:58:18.266187Z,2024-10-15
AAPL,1d,2024-10-14T00:00:00,228.7,231.73,228.6,231.3,39882100.0,normal,2025-12-26T06:58:18.266187Z,2024-10-14
AAPL,1d,2024-10-11T00:00:00,229.3,229.41,227.34,227.55,31759200.0,normal,2025-12-26T06:58:18.266187Z,2024-10-11
AAPL,1d,2024-10-10T00:00:00,227.78,229.5,227.17,229.04,28183544.0,normal,2025-12-26T06:58:18.266187Z,2024-10-10
AAPL,1d,2024-10-09T00:00:00,225.23,229.75,224.83,229.54,33591100.0,normal,2025-12-26T06:58:18.266187Z,2024-10-09
AAPL,1d,2024-10-08T00:00:00,224.3,225.98,223.25,225.77,31855700.0,normal,2025-12-26T06:58:18.266187Z,2024-10-08
AAPL,1d,2024-10-07T00:00:00,224.5,225.69,221.33,221.69,39505400.0,normal,2025-12-26T06:58:18.266187Z,2024-10-07
AAPL,1d,2024-10-04T00:00:00,227.9,228.0,224.13,226.8,37345098.0,normal,2025-12-26T06:58:18.266187Z,2024-10-04
AAPL,1d,2024-10-03T00:00:00,225.14,226.81,223.32,225.67,34044200.0,normal,2025-12-26T06:58:18.266187Z,2024-10-03
AAPL,1d,2024-10-02T00:00:00,225.89,227.37,223.02,226.78,32880605.0,normal,2025-12-26T06:58:18.266187Z,2024-10-02
AAPL,1d,2024-10-01T00:00:00,229.52,229.65,223.74,226.21,63285048.0,normal,2025-12-26T06:58:18.266187Z,2024-10-01
AAPL,1d,2024-09-30T00:00:00,230.04,233.0,229.65,233.0,54793391.0,normal,2025-12-26T06:58:18.266187Z,2024-09-30
AAPL,1d,2024-09-27T00:00:00,228.46,229.52,227.3,227.79,34026000.0,normal,2025-12-26T06:58:18.266187Z,2024-09-27
AAPL,1d,2024-09-26T00:00:00,227.3,228.5,225.41,227.52,36636707.0,normal,2025-12-26T06:58:18.266187Z,2024-09-26
AAPL,1d,2024-09-25T00:00:00,224.93,227.29,224.02,226.37,42308715.0,normal,2025-12-26T06:58:18.266187Z,2024-09-25
AAPL,1d,2024-09-24T00:00:00,228.65,229.35,225.73,227.37,43556100.0,normal,2025-12-26T06:58:18.266187Z,2024-09-24
AAPL,1d,2024-09-23T00:00:00,227.34,229.45,225.81,226.47,54146023.0,normal,2025-12-26T06:58:18.266187Z,2024-09-23
AAPL,1d,2024-09-20T00:00:00,229.97,233.09,227.62,228.2,318679900.0,normal,2025-12-26T06:58:18.266187Z,2024-09-20
AAPL,1d,2024-09-19T00:00:00,224.99,229.82,224.63,228.87,66781315.0,normal,2025-12-26T06:58:18.266187Z,2024-09-19
AAPL,1d,2024-09-18T00:00:00,217.55,222.71,217.54,220.69,59894928.0,normal,2025-12-26T06:58:18.266187Z,2024-09-18
AAPL,1d,2024-09-17T00:00:00,215.75,216.9,214.5,216.79,45519339.0,normal,2025-12-26T06:58:18.266187Z,2024-09-17
AAPL,1d,2024-09-16T00:00:00,216.54,217.22,213.92,216.32,59357427.0,normal,2025-12-26T06:58:18.266187Z,2024-09-16
AAPL,1d,2024-09-13T00:00:00,223.58,224.04,221.91,222.5,36766619.0,normal,2025-12-26T06:58:18.266187Z,2024-09-13
AAPL,1d,2024-09-12T00:00:00,222.5,223.55,219.82,222.77,37498225.0,normal,2025-12-26T06:58:18.266187Z,2024-09-12
AAPL,1d,2024-09-11T00:00:00,221.46,223.09,217.89,222.66,44587100.0,normal,2025-12-26T06:58:18.266187Z,2024-09-11
AAPL,1d,2024-09-10T00:00:00,218.92,221.48,216.73,220.11,51591033.0,normal,2025-12-26T06:58:18.266187Z,2024-09-10
AAPL,1d,2024-09-09T00:00:00,220.82,221.27,216.71,220.91,67180000.0,normal,2025-12-26T06:58:18.266187Z,2024-09-09
AAPL,1d,2024-09-06T00:00:00,223.95,225.24,219.77,220.82,48423011.0,normal,2025-12-26T06:58:18.266187Z,2024-09-06
AAPL,1d,2024-09-05T00:00:00,221.63,225.48,221.52,222.38,36615400.0,normal,2025-12-26T06:58:18.266187Z,2024-09-05
AAPL,1d,2024-09-04T00:00:00,221.66,221.78,217.48,220.85,43840200.0,normal,2025-12-26T06:58:18.266187Z,2024-09-04
AAPL,1d,2024-09-03T00:00:00,228.55,229.0,221.17,222.77,50190600.0,normal,2025-12-26T06:58:18.266187Z,2024-09-03
AAPL,1d,2024-08-30T00:00:00,230.19,230.4,227.48,229.0,52990800.0,normal,2025-12-26T06:58:18.266187Z,2024-08-30
AAPL,1d,2024-08-29T00:00:00,230.1,232.92,228.88,229.79,51906300.0,normal,2025-12-26T06:58:18.266187Z,2024-08-29
AAPL,1d,2024-08-28T00:00:00,227.92,229.86,225.68,226.49,38052200.0,normal,2025-12-26T06:58:18.266187Z,2024-08-28
AAPL,1d,2024-08-27T00:00:00,226.0,228.85,224.89,228.03,35934600.0,normal,2025-12-26T06:58:18.266187Z,2024-08-27
AAPL,1d,2024-08-26T00:00:00,226.76,227.28,223.89,227.18,30602208.0,normal,2025-12-26T06:58:18.266187Z,2024-08-26
AAPL,1d,2024-08-23T00:00:00,225.66,228.22,224.33,226.84,38677300.0,normal,2025-12-26T06:58:18.266187Z,2024-08-23
AAPL,1d,2024-08-22T00:00:00,227.79,228.34,223.9,224.53,43695321.0,normal,2025-12-26T06:58:18.266187Z,2024-08-22
AAPL,1d,2024-08-21T00:00:00,226.52,227.98,225.05,226.4,34765500.0,normal,2025-12-26T06:58:18.266187Z,2024-08-21
AAPL,1d,2024-08-20T00:00:00,225.77,227.17,225.45,226.51,30299033.0,normal,2025-12-26T06:58:18.266187Z,2024-08-20
AAPL,1d,2024-08-19T00:00:00,225.72,225.99,223.04,225.89,40687813.0,normal,2025-12-26T06:58:18.266187Z,2024-08-19
AAPL,1d,2024-08-16T00:00:00,223.92,226.83,223.65,226.05,44340240.0,normal,2025-12-26T06:58:18.266187Z,2024-08-16
AAPL,1d,2024-08-15T00:00:00,224.6,225.35,222.76,224.72,46414013.0,normal,2025-12-26T06:58:18.266187Z,2024-08-15
AAPL,1d,2024-08-14T00:00:00,220.57,223.03,219.7,221.72,41960600.0,normal,2025-12-26T06:58:18.266187Z,2024-08-14
AAPL,1d,2024-08-13T00:00:00,219.01,221.89,219.01,221.27,44155331.0,normal,2025-12-26T06:58:18.266187Z,2024-08-13
AAPL,1d,2024-08-12T00:00:00,216.07,219.51,215.6,217.53,38028100.0,normal,2025-12-26T06:58:18.266187Z,2024-08-12
AAPL,1d,2024-08-09T00:00:00,212.1,216.78,211.97,216.24,42201646.0,normal,2025-12-26T06:58:18.266187Z,2024-08-09
AAPL,1d,2024-08-08T00:00:00,213.11,214.2,208.83,213.31,47161149.0,normal,2025-12-26T06:58:18.266187Z,2024-08-08
AAPL,1d,2024-08-07T00:00:00,206.9,213.64,206.39,209.82,63516417.0,normal,2025-12-26T06:58:18.266187Z,2024-08-07
AAPL,1d,2024-08-06T00:00:00,205.3,209.99,201.07,207.23,69660500.0,normal,2025-12-26T06:58:18.266187Z,2024-08-06
AAPL,1d,2024-08-05T00:00:00,199.09,213.5,196.0,209.27,119548600.0,normal,2025-12-26T06:58:18.266187Z,2024-08-05
AAPL,1d,2024-08-02T00:00:00,219.15,225.6,217.71,219.86,105568600.0,normal,2025-12-26T06:58:18.266187Z,2024-08-02
AAPL,1d,2024-08-01T00:00:00,224.37,224.48,217.02,218.36,62501000.0,normal,2025-12-26T06:58:18.266187Z,2024-08-01
AAPL,1d,2024-07-31T00:00:00,221.44,223.82,220.63,222.08,50036300.0,normal,2025-12-26T06:58:18.266187Z,2024-07-31
AAPL,1d,2024-07-30T00:00:00,219.19,220.33,216.12,218.8,41643840.0,normal,2025-12-26T06:58:18.266187Z,2024-07-30
AAPL,1d,2024-07-29T00:00:00,216.96,219.3,215.75,218.24,36311800.0,normal,2025-12-26T06:58:18.266187Z,2024-07-29
AAPL,1d,2024-07-26T00:00:00,218.7,219.49,216.01,217.96,41601345.0,normal,2025-12-26T06:58:18.266187Z,2024-07-26
AAPL,1d,2024-07-25T00:00:00,218.93,220.85,214.62,217.49,51391200.0,normal,2025-12-26T06:58:18.266187Z,2024-07-25
AAPL,1d,2024-07-24T00:00:00,224.0,224.8,217.13,218.54,61777600.0,normal,2025-12-26T06:58:18.266187Z,2024-07-24
AAPL,1d,2024-07-23T00:00:00,224.37,226.94,222.68,225.01,39960300.0,normal,2025-12-26T06:58:18.266187Z,2024-07-23
AAPL,1d,2024-07-22T00:00:00,227.01,227.78,223.09,223.96,48201835.0,normal,2025-12-26T06:58:18.266187Z,2024-07-22
AAPL,1d,2024-07-19T00:00:00,224.82,226.8,223.28,224.31,49151500.0,normal,2025-12-26T06:58:18.266187Z,2024-07-19
AAPL,1d,2024-07-18T00:00:00,230.28,230.44,222.27,224.18,66034600.0,normal,2025-12-26T06:58:18.266187Z,2024-07-18
AAPL,1d,2024-07-17T00:00:00,229.45,231.46,226.64,228.88,57345900.0,normal,2025-12-26T06:58:18.266187Z,2024-07-17
AAPL,1d,2024-07-16T00:00:00,235.0,236.27,232.33,234.82,43234300.0,normal,2025-12-26T06:58:18.266187Z,2024-07-16
AAPL,1d,2024-07-15T00:00:00,236.48,237.23,233.09,234.4,62631300.0,normal,2025-12-26T06:58:18.266187Z,2024-07-15
AAPL,1d,2024-07-12T00:00:00,228.92,232.64,228.68,230.54,53046527.0,normal,2025-12-26T06:58:18.266187Z,2024-07-12
AAPL,1d,2024-07-11T00:00:00,231.39,232.39,225.77,227.57,64710617.0,normal,2025-12-26T06:58:18.266187Z,2024-07-11
AAPL,1d,2024-07-10T00:00:00,229.3,233.08,229.25,232.98,62627700.0,normal,2025-12-26T06:58:18.266187Z,2024-07-10
AAPL,1d,2024-07-09T00:00:00,227.93,229.4,226.37,228.68,48169822.0,normal,2025-12-26T06:58:18.266187Z,2024-07-09
AAPL,1d,2024-07-08T00:00:00,227.09,227.85,223.25,227.82,59085900.0,normal,2025-12-26T06:58:18.266187Z,2024-07-08
AAPL,1d,2024-07-05T00:00:00,221.65,226.45,221.65,226.34,60412408.0,normal,2025-12-26T06:58:18.266187Z,2024-07-05
AAPL,1d,2024-07-03T00:00:00,220.0,221.55,219.03,221.55,37369801.0,normal,2025-12-26T06:58:18.266187Z,2024-07-03
AAPL,1d,2024-07-02T00:00:00,216.15,220.38,215.1,220.27,58046200.0,normal,2025-12-26T06:58:18.266187Z,2024-07-02
AAPL,1d,2024-07-01T00:00:00,212.09,217.51,211.92,216.75,60402929.0,normal,2025-12-26T06:58:18.266187Z,2024-07-01
AAPL,1d,2024-06-28T00:00:00,215.77,216.07,210.3,210.62,82542718.0,normal,2025-12-26T06:58:18.266187Z,2024-06-28
AAPL,1d,2024-06-27T00:00:00,214.69,215.74,212.35,214.1,49772707.0,normal,2025-12-26T06:58:18.266187Z,2024-06-27
AAPL,1d,2024-06-26T00:00:00,211.5,214.86,210.64,213.25,66213200.0,normal,2025-12-26T06:58:18.266187Z,2024-06-26
AAPL,1d,2024-06-25T00:00:00,209.15,211.38,208.61,209.07,56713868.0,normal,2025-12-26T06:58:18.266187Z,2024-06-25
AAPL,1d,2024-06-24T00:00:00,207.72,212.7,206.59,208.14,80727006.0,normal,2025-12-26T06:58:18.266187Z,2024-06-24
AAPL,1d,2024-06-21T00:00:00,210.39,211.89,207.11,207.49,246421353.0,normal,2025-12-26T06:58:18.266187Z,2024-06-21
AAPL,1d,2024-06-20T00:00:00,213.93,214.24,208.85,209.68,86172500.0,normal,2025-12-26T06:58:18.266187Z,2024-06-20
AAPL,1d,2024-06-18T00:00:00,217.59,218.63,213.0,214.29,79943300.0,normal,2025-12-26T06:58:18.266187Z,2024-06-18
AAPL,1d,2024-06-17T00:00:00,213.37,218.95,212.72,216.67,93728300.0,normal,2025-12-26T06:58:18.266187Z,2024-06-17
AAPL,1d,2024-06-14T00:00:00,213.85,215.17,211.3,212.49,70122748.0,normal,2025-12-26T06:58:18.266187Z,2024-06-14
AAPL,1d,2024-06-13T00:00:00,214.74,216.75,211.6,214.24,97862729.0,normal,2025-12-26T06:58:18.266187Z,2024-06-13
AAPL,1d,2024-06-12T00:00:00,207.37,220.2,206.9,213.07,198134300.0,normal,2025-12-26T06:58:18.266187Z,2024-06-12
AAPL,1d,2024-06-11T00:00:00,193.65,207.16,193.63,207.15,172373300.0,normal,2025-12-26T06:58:18.266187Z,2024-06-11
AAPL,1d,2024-06-10T00:00:00,196.9,197.3,192.15,193.12,97262077.0,normal,2025-12-26T06:58:18.266187Z,2024-06-10
AAPL,1d,2024-06-07T00:00:00,194.65,196.94,194.14,196.89,53103912.0,normal,2025-12-26T06:58:18.266187Z,2024-06-07
AAPL,1d,2024-06-06T00:00:00,195.69,196.5,194.17,194.48,41181800.0,normal,2025-12-26T06:58:18.266187Z,2024-06-06
AAPL,1d,2024-06-05T00:00:00,195.4,196.9,194.87,195.87,54156800.0,normal,2025-12-26T06:58:18.266187Z,2024-06-05
AAPL,1d,2024-06-04T00:00:00,194.64,195.32,193.03,194.35,47471445.0,normal,2025-12-26T06:58:18.266187Z,2024-06-04
